^ESCT1180329	Disopyramide 150mg capsules (Mylan)
^ESCT1181182	Product containing only disopyramide 100 mg/1 each oral capsule
^ESCT1181183	Product containing only disopyramide 150 mg/1 each oral capsule
^ESCT1186399	Disopyramide 100mg capsules (Mylan) 84 capsule
^ESCT1186408	Disopyramide 150mg capsules (Mylan) 84 capsule
^ESCT1189507	Disopyramide 100mg capsules (Mylan)
^ESCT1203328	Disopyramide phosphate 100mg prolonged-release oral tablet
^ESCT1203341	Disopyramide (as disopyramide phosphate) 250 mg prolonged-release oral tablet
^ESCT1203342	Product containing precisely disopyramide (as disopyramide phosphate) 250 milligram/1 each prolonged-release oral tablet
^ESCT1203514	Disopyramide (as disopyramide phosphate) 150 mg prolonged-release oral tablet
^ESCT1203515	Product containing precisely disopyramide (as disopyramide phosphate) 150 milligram/1 each prolonged-release oral tablet
^ESCT1203663	Disopyramide (as disopyramide phosphate) 250 mg prolonged-release oral capsule
^ESCT1203664	Product containing precisely disopyramide (as disopyramide phosphate) 250 milligram/1 each prolonged-release oral capsule
^ESCT1203759	Disopyramide phosphate 100mg prolonged-release oral capsule
^ESCT1203798	Disopyramide phosphate 150mg prolonged-release oral capsule
^ESCT1209269	Disopyramide (as disopyramide phosphate) 50 mg/5 mL solution for injection ampoule
^ESCT1209270	Product containing precisely disopyramide (as disopyramide phosphate) 50 milligram/5 milliliter conventional release solution for injection ampule
^ESCT1209271	Disopyramide (as disopyramide phosphate) 50 mg/5 mL solution for injection ampule
^ESCT1215790	Disopyramide 150mg modified-release tablets
^ESCT1215791	Disopyramide 250mg modified-release capsules
^ESCT1215792	Disopyramide 250mg modified-release tablets
^ESCT1215793	Disopyramide 50mg/5ml solution for injection ampoules
^ESCT1219773	Disopyramide
^ESCT1219774	Disopyramide product
^ESCT1222802	Disopyramide phosphate 100 mg oral capsule
^ESCT1222803	Product containing precisely disopyramide phosphate 100 milligram/1 each conventional release oral capsule
^ESCT1222804	Product containing precisely disopyramide phosphate 150 milligram/1 each conventional release oral capsule
^ESCT1222805	Disopyramide phosphate 150 mg oral capsule
^ESCT1266474	Disopyramide 100mg capsules 1 capsule
^ESCT1266475	Disopyramide 100mg capsules (Special Order)
^ESCT1266476	Disopyramide 100mg capsules (Special Order) 1 capsule
^ESCT1352074	Disopyramide only product
^ESCT1352075	Disopyramide only product in parenteral dose form
^ESCT1352076	Disopyramide only product in oral dose form
^ESCT1361002	Disopyramide (as disopyramide phosphate) 10 mg/mL solution for injection
^ESCT1363121	Disopyramide (as disopyramide phosphate) 100 mg oral capsule
^ESCT1363122	Disopyramide (as disopyramide phosphate) 150 mg oral capsule
^ESCT1367136	Disopyramide 150mg capsules
^ESCT1367290	Disopyramide 100mg capsules
^ESCT1375503	Disopyramide 100mg capsules (Medihealth (Northern) Ltd)
^ESCT1375504	Disopyramide 100mg capsules (Medihealth (Northern) Ltd) 84 capsule
