fto1.	JARDIANCE 10mg tablets
fto2.	EMPAGLIFLOZIN 10mg tablets
fto3.	JARDIANCE 25mg tablets
fto4.	EMPAGLIFLOZIN 25mg tablets
ftr1.	SYNJARDY 5mg/850mg tablets
ftr2.	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/850mg tablets
ftr3.	SYNJARDY 5mg/1000mg tablets
ftr4.	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/1000mg tablets
ftr5.	SYNJARDY 12.5mg/850mg tablets
ftr6.	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 12.5mg/850mg tablets
ftr7.	SYNJARDY 12.5mg/1000mg tablets
ftr8.	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 12.5mg/1000mg tablets
