^ESCT1173898	Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
FLVA127091NEMIS	Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
FLVA137918NEMIS	Fluad Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
^ESCT1188861	Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)
^ESCT1199425	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) 1 pre-filled disposable injection
ININ1468	Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)
INSU82033NEMIS	Influvac Desu  Suspension For Injection  0.5 ml pre-filled syringe
INSU82033NEMIS	Influvac Desu vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd)
INVA127171NEMIS	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)
AVVA5297NEMIS	Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (sanofi pasteur MSD Ltd)
AVVA5297NEMIS	Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)
ININ27868EMIS	Inactivated Influenza Vaccine, Surface Antigen  Injection  0.5 ml pre-filled syringe
ININ27868EMIS	Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes
INNA52407NEMIS	Influenza vaccine (live attenuated) nasal suspension 0.2ml unit dose
INSU127173NEMIS	Influenza Vaccine Tetra Myl Suspension For Injection 0.5 ml pre-filled syringe
INSU23004NEMIS	Inactivated Influenza Vaccine, Surface Antigen, Virosome  Suspension For Injection  0.5 ml pre-filled syringe
INSU23004NEMIS	Influenza vaccine (surface antigen, inactivated, virosome) suspension for injection 0.5ml pre-filled syringes
INVA30366EMIS	Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes
INVA36706NEMIS	Influenza vaccine (split virion, inactivated) 15microgram strain suspension for injection 0.1ml pre-filled syringes
PAVA19010EMIS	Pasteur Merieux Inactivated Influenza Vaccine 0.5 ml
PFVA95151NEMIS	Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)
QUVA124210NEMIS	Quadrivalent influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)
SAVA131918NEMIS	Trivalent influenza vaccine (split virion, inactivated) High Dose suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)
SEVA133336NEMIS	Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
FLIN9810BRIDL	Fluvirin vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)
FLNA52410NEMIS	Fluenz  Vaccine Nasal Suspension  0.2 ml unit dose
FLNA52410NEMIS	Fluenz vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)
FLVA90951NEMIS	Fluenz Tetra vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)
