^ESCT1167914	Hydralazine and hydrochlorothiazide
^ESCT1167915	Product containing hydralazine and hydrochlorothiazide
^ESCT1167918	Hydrochlorothiazide and labetalol
^ESCT1167919	Product containing hydrochlorothiazide and labetalol
^ESCT1177714	Product containing only irbesartan 300 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1177875	Product containing only amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1177925	Product containing only timolol maleate 10 mg and amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1177992	Product containing only metoprolol tartrate 100 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1178013	Product containing only lisinopril 20 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1178014	Product containing only lisinopril 10 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1178027	Product containing only irbesartan 150 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1178079	Product containing only acebutolol 200 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1178080	Product containing only atenolol 50 mg and amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral capsule
^ESCT1178081	Product containing only bisoprolol fumarate 10 mg and hydrochlorothiazide 6.25 mg/1 each oral tablet
^ESCT1178100	Product containing only losartan potassium 50 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1178334	Product containing only hydrochlorothiazide 12.5 mg/1 each oral capsule
^ESCT1178427	Product containing only hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1178602	Product containing only candesartan cilexetil 32 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1178844	Product containing only eprosartan 600 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1178845	Product containing only eprosartan 600 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1178849	Product containing only triamterene 50 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1178850	Product containing only moexipril hydrochloride 7.5 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1178851	Product containing only moexipril hydrochloride 15 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1178855	Product containing only bisoprolol fumarate 2.5 mg and hydrochlorothiazide 6.25 mg/1 each oral tablet
^ESCT1179094	Product containing only hydrochlorothiazide 50 mg and spironolactone 50 mg/1 each oral tablet
^ESCT1179097	Product containing only benazepril hydrochloride 5 mg and hydrochlorothiazide 6.25 mg/1 each oral tablet
^ESCT1179336	Product containing only enalapril maleate 5 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1179348	Product containing only hydrochlorothiazide 30 mg and methyldopa 500 mg/1 each oral tablet
^ESCT1179349	Product containing only hydrochlorothiazide 12.5 mg and valsartan 80 mg/1 each oral tablet
^ESCT1179428	Product containing only aliskiren 150 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1181208	Product containing only captopril 25 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1181210	Product containing only enalapril maleate 20 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1181274	Product containing only quinapril 10 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1182044	Metoprolol + Hydrochlorothiazide
^ESCT1182123	Product containing only metoprolol tartrate 100 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1182487	Product containing only metoprolol tartrate 50 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1182639	Product containing only telmisartan 80 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1182663	Product containing only olmesartan medoxomil 20 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1182664	Product containing only olmesartan medoxomil 40 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1182755	Product containing only fosinopril 10 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCT1182935	Product containing only losartan potassium 100 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCT1182936	Product containing only hydrochlorothiazide 25 mg and propranolol hydrochloride 80 mg/1 each oral tablet
^ESCT1182937	Product containing only hydrochlorothiazide 12.5 mg and valsartan 160 mg/1 each oral tablet
