fe41.00	HYDROCORTISONE 10mg tablets
fe42.00	HYDROCORTISONE 20mg tablets
fe44.00	*HYDROCORTONE 10mg tablets
fe45.00	*HYDROCORTONE 20mg tablets
fe4e.00	PLENADREN 5mg m/r tablets
fe4f.00	HYDROCORTISONE 5mg m/r tablets
fe4g.00	PLENADREN 20mg m/r tablets
fe4h.00	HYDROCORTISONE 20mg m/r tablets
ai1..00	RECTAL HYDROCORTISONE
ai14.00	HYDROCORTISONE 10% foam aerosol
ai13.00	*CORTENEMA 100mg/60mL enema
ai12.00	COLIFOAM 10% foam 20.8g
ai11.00	HYDROCORTISONE 25mg suppositories
fe4..00	HYDROCORTISONE
fe4d.00	HYDROCORTISONE 100mg/1mL injection
fe4c.00	SOLU-CORTEF 100mg injection
fe4b.00	SOLU-CORTEF+WATER 100mg injection
fe4a.00	EFCORTESOL 500mg/5mL injection
fe49.00	EFCORTESOL 100mg/1mL injection
fe48.00	EFCORTELAN SOLUBLE 100mg injection
fe47.00	HYDROCORTISONE 500mg injection
fe46.00	HYDROCORTISONE 100mg injection
fe43.00	*HYDROCORTISTAB 20mg tablets
j42..00	HYDROCORTISONE ACETATE [MUSCULOSKELETAL USE]
j423.00	HYDROCORTISTAB 25mg/1mL injection
j422.00	HYDROCORTISTAB 125mg injection
j421.00	HYDROCORTISONE 25mg/1mL injection
k66..00	HYDROCORTISONE ACETATE [EYE]
k66z.00	HYDROCORTISONE ACETATE 1% eye drops
k66y.00	HYDROCORTISONE ACETATE eye ointment
k66x.00	HYDROCORTISONE ACETATE eye ointment
k66B.00	HYDROCORTISONE ACETATE+NEOMYCIN SULPHATE 1.5%/1% eye drops 10mL
k66A.00	*NEO-CORTEF eye ointment
k669.00	HYDROCORTISONE ACETATE 2.5% eye ointment
k668.00	HYDROCORTISONE ACETATE 1% eye ointment
k667.00	HYDROCORTISONE ACETATE 0.5% eye ointment
k666.00	*NEO-CORTEF eye drops
k665.00	*FRAMYCORT eye ointment 3.5g
k664.00	*FRAMYGEN eye ointment
k663.00	*FRAMYCORT eye drops 5mL
k662.00	*CORTUCID eye ointment
k661.00	CHLOROMYCETIN HYDROCORT. eye ointment 4g
l35z.00	GENTAMICIN+HYDROCORTISONE ACETATE 0.3%/1% ear drops
lb4z.00	HYDROCORTISONE 2.5mg lozenges
lb4z.11	HYDROCORTISONE 2.5mg muco-adhesive buccal tablets
