bl2..00	ISOSORBIDE DINITRATE
bl2z.00	*JERIDIN 10mg tablets
bl2y.00	JERIDIN 20mg tablets
bl2x.00	*IMTACK 1.25mg spray
bl2w.00	CEDOCARD RETARD 40mg m/r tablets
bl2v.00	ISOKET-0.05% 25mg/50mL injection
bl2u.00	ISOKET RETARD-40 40mg m/r tablets
bl2t.00	ISOKET RETARD-20 20mg m/r capsules
bl2s.00	*CEDOCARD-40 40mg tablets
bl2r.00	SORBID-20 SA 20mg m/r capsules
bl2q.00	ISOKET 0.1% 100mg/100mL injection
bl2p.00	ISOKET-0.1% 50mg/50mL injection
bl2o.00	ISOKET-0.1% 10mg/10mL injection
bl2n.00	CEDOCARD IV 100mg/100mL injection
bl2m.00	CEDOCARD IV 50mg/50mL injection
bl2l.00	CEDOCARD IV 10mg/10mL injection
bl2k.00	SORBID-40 SA 40mg m/r capsules
bl2j.00	*SONI-SLO 40mg m/r capsules
bl2i.00	*SONI-SLO 20mg m/r capsules
bl2h.00	ISORDIL TEMBIDS 40mg m/r capsules
bl2g.00	ISOKET RETARD 20mg m/r tablets
bl2f.00	CEDOCARD RETARD 20mg m/r tablets
bl2e.00	*VASCARDIN 30mg tablets
bl2d.00	*VASCARDIN 10mg tablets
bl2c.00	*SORBITRATE 20mg tablets
bl2b.00	*SORBITRATE 10mg tablets
bl2a.00	SORBICHEW 5mg chewable tablets
bl2B.00	ANGITAK 1.25mg spray
bl2A.00	ISOCARD 30mg transdermal spray
bl29.00	*ISORDIL 30mg tablets
bl28.00	*ISORDIL 10mg tablets
bl27.00	ISORDIL 5mg sublingual tablets
bl26.00	*ISOKET 20mg tablets
bl25.00	*ISOKET 10mg tablets
bl24.00	*ISOKET 5mg tablets
bl23.00	*CEDOCARD-20 20mg tablets
bl22.00	*CEDOCARD-10 10mg tablets
bl21.00	CEDOCARD-5 5mg sublingual tablets
bl3..00	ISOSORBIDE MONONITRATE
bl3z.00	ISOSORBIDE MONONITRATE 20mg m/r tablets
bl3y.00	ISOSORBIDE MONONITRATE 60mg m/r tablets
bl3x.00	ISOSORBIDE MONONITRATE 40mg tablets
bl3w.00	ISOSORBIDE MONONITRATE 20mg tablets
bl3v.00	ISOSORBIDE MONONITRATE 10mg tablets
bl3u.00	ISOSORBIDE MONONITRATE 25mg m/r capsules
bl3t.00	*EUMON 40 XL m/r tablets
bl3s.00	DYNAMIN XL50 m/r capsules
bl3r.00	DYNAMIN XL25 m/r capsules
bl3q.00	*MODISAL LA 50 m/r capsules
bl3p.00	ISOSORBIDE MONONITRATE TABLETS 10mg+20mg starter pack
bl3o.00	*MODISAL LA 25 m/r capsules
bl3n.00	ELANTAN LA 25mg m/r capsules
bl3m.00	*ISIB 40mg tablets
