f921.	Levothyroxine sodium 25micrograms tablet
f922.	Levothyroxine sodium 50micrograms tablet
f923.	Levothyroxine sodium 100micrograms tablet
f924.	Eltroxin 50mcg tablet
f925.	Eltroxin 100mcg tablet
f926.	Eltroxin 25micrograms tablet
f927.	LEVOTHYROXINE SODIUM 25micrograms/5mL oral solution
f928.	LEVOTHYROXINE SODIUM 50micrograms/5mL oral solution
f929.	LEVOTHYROXINE SODIUM 100micrograms/5mL oral solution
f92A.	EVOTROX 25micrograms/5mL oral solution
f92B.	EVOTROX 50micrograms/5mL oral solution
f92C.	EVOTROX 100micrograms/5mL oral solution
f92D.	ELTROXIN 25micrograms/5mL oral solution
f92E.	ELTROXIN 50micrograms/5mL oral solution
f92F.	ELTROXIN 100micrograms/5mL oral solution
