di5..	*FENOPROFEN [ANALGESIC]
di51.	*PROGESIC 200mg tablets
di5z.	*FENOPROFEN 200mg tablets
di8..	NAPROXEN SODIUM
di81.	*SYNFLEX 275mg tablets
di8z.	*NAPROXEN SODIUM 275mg tablets
diaW.	ANADIN ULTRA 200mg capsules
dibC.	SUDAFED DUAL RELIEF MAX tabs
dic6.	IBUPROF+PSEUDOEPH 200/30mg tab
dic7.	NUROFEN COLD & FLU tablets
dic8.	NUROFEN SINUS tablets
dicB.	LEMSIP FLU 12HR capsules
dicC.	IBUPROF+PSEUDOEP 300/45mg caps
dicZ.	NUROMOL 200mg/500mg tablets
dl63.	TOLFENAMIC ACID 200mg tablets
dicP.	LEMSIP COLD&FLU SNUS 12HR caps
dicw.	IBUPROFN+PARACET 200/500mg tab
j12..	BENORILATE [MUSCSKEL]
j121.	*BENORAL 750mg tablets
j122.	*BENORAL 2g/sachet granules
j123.	*BENORAL 2g/5mL s/f susp 150mL
j124.	*BENORAL 2g/5mL s/f susp 300mL
j12x.	*BENORILATE 750mg tablets
j12y.	*BENORILATE granules 2g/sachet
j12z.	*BENORILATE 2g/5mL s/f susp
j2...	NON-STEROIDAL ANTI-INFLAMM NOS
j21..	AZAPROPAZONE
j211.	*RHEUMOX 300mg capsules
j212.	*RHEUMOX 600mg tablets
j21y.	*AZAPROPAZONE 300mg capsules
j21z.	*AZAPROPAZONE 600mg tablets
j22..	DICLOFENAC SODIUM
j221.	VOLTAROL 25mg tablets
j222.	VOLTAROL 50mg tablets
j226.	VOLTAROL RETARD 100mg m/r tabs
j227.	RHUMALGAN 25mg e/c tablets
j228.	RHUMALGAN 50mg e/c tablets
j22A.	*FLAMRASE SR 100mg m/r tablets
j22B.	MOTIFENE 75mg e/c+m/r capsules
j22c.	DICLOFENAC 100mg m/r tablets
j22C.	DICLOFENAC SODIUM 75mg m/r cap
j22d.	DICLOFENAC 25mg e/c tablets
j22e.	DICLOFENAC 50mg e/c tablets
j22f.	*VOLRAMAN 25mg tablets
j22g.	*VOLRAMAN 50mg tablets
j22h.	VOLTAROL 50mg disp tablets
j22H.	DICLOMAX SR 75mg m/r capsules
j22i.	DICLOFENAC 50mg disp tablets
j22I.	DICLOFLEX 25mg e/c tablets
j22j.	*VALENAC 25mg e/c tablets
j22J.	DICLOFLEX 50mg e/c tablets
j22k.	*VALENAC 50mg e/c tablets
j22K.	DICLOFLEX RETARD 100mg m/r tab
j22l.	*DICLOZIP 25mg tablets
j22L.	*LOFENSAID-25 tablets
j22m.	DICLOZIP 50mg tablets
j22M.	*LOFENSAID-50 tablets
j22n.	VOLTAROL SR 75mg m/r tablets
j22N.	RHUMALGAN CR 100mg m/r tablets
j22o.	ARTHROTEC 50 tablets
j22O.	RHUMALGAN CR 75mg m/r tablets
j22p.	DICLOF+MISOPROS 50/0.2mg tabs
j22P.	VOLSAID RETARD 75mg m/r tabs
j22q.	DICLOMAX RETARD 100mg m/r caps
j22Q.	VOLSAID RETARD 100mg m/r tabs
j22r.	DICLOFENAC 100mg m/r capsules
j22R.	DICLOFENAC 75mg e/c+m/r caps
j22s.	*ISCLOFEN 50mg e/c tablets
j22S.	*LOFENSAID RETARD 75 m/r tabs
j22t.	DICLOF+MISOPROS 75/0.2mg tabs
j22T.	*LOFENSAID RETARD 100 m/r tabs
j22u.	*DICLOFENAC SODIUM 25mg tabs
j22U.	*SLOFENAC SR 100mg m/r tablets
j22v.	*DICLOFENAC SODIUM 50mg tabs
j22V.	*SLOFENAC SR 75mg m/r tablets
j22w.	*FLAMRASE 25mg tablets
j22W.	*DIGENAC XL 100 m/r tablets
j22x.	*FLAMRASE 50mg tablets
j22X.	*FLEXOTARD 100mg m/r tablets
j22y.	DICLOFENAC NA 75mg m/r tabs
j22Y.	*DICLOTARD 75 m/r tablets
j22z.	ARTHROTEC 75 tablets
j22Z.	*DICLOTARD 100 m/r tablets
j23..	DIFLUNISAL [MUSCULO-SKEL]
j231.	*DOLOBID 250mg tablets
j232.	*DOLOBID 500mg tablets
j233.	*DIFLUNISAL 250mg tablets
j234.	*DIFLUNISAL 500mg tablets
j24..	ETODOLAC
j241.	*LODINE 200mg capsules
j242.	*RAMODAR 200mg tablets
j243.	*ETODOLAC 200mg capsules
j244.	*LODINE 300mg capsules
j245.	*LODINE 200mg tablets
j246.	*ETODOLAC 200mg tablets
j247.	ETODOLAC 300mg capsules
j248.	LODINE SR 600mg m/r tablets
j249.	ETODOLAC 600mg m/r tablets
j24A.	*EBRETIN 200mg capsules
j24B.	*EBRETIN 300mg capsules
j24C.	ECCOXOLAC 300mg capsules
j24D.	ETOPAN XL 600mg m/r tablets
j24E.	ETOLYN 600mg m/r tablets
