o13..	Ketamine
o134.	Ketamine 1g/10mL injection
o13x.	Ketamine 200mg/20mL injection
o13y.	Ketamine 500mg/10mL injection
o13z.	Ketamine 500mg/5mL injection
o135.	Ketalar 1g/10mL injection
o131.	Ketalar 200mg/20mL injection
o132.	Ketalar 500mg/10mL injection
o133.	Ketalar 500mg/5mL injection
da2..	Tryptophan product
da2y.	Tryptophan 500mg tablet
da2z.	Tryptophan 1g/6g powder
da21.	Optimax 500mg tablet
da23.	Optimax WV 500mg tablets
da24.	Pacitron 500mg tablet
da22.	Optimax 1g/6g powder
daD..	AGOMELATINE
daD2.	AGOMELATINE 25mg tablets
daD1.	VALDOXAN 25mg tablets
du6..	Amfebutamone
du6z.	Amfebutamone hydrochloride 150mg m/r tablet
du61.	Zyban 150mg m/r tablet
x02lx	Optimax
x02gO	Ketalar
x059G	Zyban
