dn71.00	PHENOBARBITAL 15mg tablets
dn72.00	PHENOBARBITAL 30mg tablets
dn73.00	PHENOBARBITAL 60mg tablets
dn78.00	PHENOBARBITAL 200mg/1mL injection
dn79.00	*GARDENAL 200mg/1mL injection
dn7d.00	PHENOBARBITAL 15mg/5mL elixir
dn7..00	PHENOBARBITAL
dn7d.11	PHENOBARBITONE 15mg/5mL elixir
dn7c.00	*LUMINAL 60mg tablets
dn7b.00	*LUMINAL 30mg tablets
dn7a.00	*LUMINAL 15mg tablets
dn78.11	PHENOBARBITONE 200mg/1mL injection
dn77.00	PHENOBARBITONE 15mg/10mL elixir
dn76.00	PHENOBARBITONE SODIUM 60mg tablets
dn75.00	PHENOBARBITONE SODIUM 30mg tablets
dn74.11	PHENOBARBITONE 100mg tablets
dn74.00	PHENOBARBITAL 100mg tablets
dn73.11	PHENOBARBITONE 60mg tablets
dn72.11	PHENOBARBITONE 30mg tablets
dn71.11	PHENOBARBITONE 15mg tablets
a517.00	*CANTIL+PHENOBARBITONE tablets
dn7..11	PHENOBARBITONE
