ftr..00	METFORMIN + EMPAGLIFLOZIN
ftr8.00	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 12.5mg/1000mg tablets
ftr6.00	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 12.5mg/850mg tablets
ftr4.00	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/1000mg tablets
ftr2.00	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/850mg tablets
ftr7.00	SYNJARDY 12.5mg/1000mg tablets
ftr5.00	SYNJARDY 12.5mg/850mg tablets
ftr3.00	SYNJARDY 5mg/1000mg tablets
ftr1.00	SYNJARDY 5mg/850mg tablets
fto..00	EMPAGLIFLOZIN
fto4.00	EMPAGLIFLOZIN 25mg tablets
fto2.00	EMPAGLIFLOZIN 10mg tablets
fto3.00	JARDIANCE 25mg tablets
fto1.00	JARDIANCE 10mg tablets
ftm..00	METFORMIN + DAPAGLIFLOZIN
ftm4.00	DAPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/1000mg tablets
ftm2.00	DAPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/850mg tablets
ftm3.00	XIGDUO 5mg/1000mg tablets
ftm1.00	XIGDUO 5mg/850mg tablets
fth..00	DAPAGLIFLOZIN
fth4.00	DAPAGLIFLOZIN 10mg tablets
fth3.00	DAPAGLIFLOZIN 5mg tablets
fth2.00	FORXIGA 10mg tablets
fth1.00	FORXIGA 5mg tablets
ftp..00	METFORMIN + CANAGLIFLOZIN
ftp4.00	CANAGLIFLOZIN+METFORMIN HYDROCHLORIDE 50mg/1000mg tablets
ftp2.00	CANAGLIFLOZIN+METFORMIN HYDROCHLORIDE 50mg/850mg tablets
ftp3.00	VOKANAMET 50mg/1000mg tablets
ftp1.00	VOKANAMET 50mg/850mg tablets
ftn..00	CANAGLIFLOZIN
ftn4.00	CANAGLIFLOZIN 300mg tablets
ftn2.00	CANAGLIFLOZIN 100mg tablets
ftn3.00	INVOKANA 300mg tablets
ftn1.00	INVOKANA 100mg tablets
