dr1..00	TRIHEXYPHENIDYL HYDROCHLORIDE
dr1z.11	BENZHEXOL HYDROCHLORIDE 5mg/5mL syrup
dr1z.00	TRIHEXYPHENIDYL HYDROCHLORIDE 5mg/5mL syrup
dr1y.00	BENZHEXOL HCL 5mg m/r capsules
dr1x.11	BENZHEXOL HYDROCHLORIDE 5mg tablets
dr1x.00	TRIHEXYPHENIDYL HYDROCHLORIDE 5mg tablets
dr1w.11	BENZHEXOL HYDROCHLORIDE 2mg tablets
dr1w.00	TRIHEXYPHENIDYL HYDROCHLORIDE 2mg tablets
dr19.00	*BROFLEX 5mg/5mL syrup
dr18.00	*BENTEX 5mg tablets
dr17.00	*BENTEX 2mg tablets
dr16.00	*ARTANE powder
dr15.00	*ARTANE 5mg m/r capsules
dr14.00	*ARTANE 5mg tablets
dr13.00	*ARTANE 2mg tablets
dr12.00	*BENZHEXOL 5mg tablets
dr11.00	*BENZHEXOL 2mg tablets
dr1..11	BENZHEXOL HYDROCHLORIDE
