d4n..00	ZUCLOPENTHIXOL ACETATE
d4n4.00	ZUCLOPENTHIXOL ACETATE 100mg/2mL injection (oily)
d4n3.00	ZUCLOPENTHIXOL ACETATE 50mg/1mL injection (oily)
d4n2.00	CLOPIXOL ACUPHASE 100mg/2mL injection (oily)
d4n1.00	CLOPIXOL ACUPHASE 50mg/1mL injection (oily)
d4j..00	ZUCLOPENTHIXOL DIHYDROCHLORIDE
d4jz.00	ZUCLOPENTHIXOL DIHYDROCHLORIDE 25mg tablets
d4jy.00	ZUCLOPENTHIXOL DIHYDROCHLORIDE 10mg tablets
d4jx.00	ZUCLOPENTHIXOL DIHYDROCHLORIDE 2mg tablets
d4j3.00	CLOPIXOL 25mg tablets
d4j2.00	CLOPIXOL 10mg tablets
d4j1.00	CLOPIXOL 2mg tablets
d57..00	ZUCLOPENTHIXOL DECANOATE
d57z.00	ZUCLOPENTHIXOL DECANOATE 500mg/1mL injection
d57y.00	ZUCLOPENTHIXOL DECANOATE 2g/10mL injection
d578.00	ZUCLOPENTHIXOL DECANOATE 100mg/2mL injection
d577.00	ZUCLOPENTHIXOL DECANOATE 50mg/1mL injection
d576.00	ZUCLOPENTHIXOL DECANOATE 200mg/1mL injection
d575.00	CLOPIXOL ACUPHASE 100mg/2mL injection (oily)
d574.00	CLOPIXOL ACUPHASE 50mg/1mL injection (oily)
d573.00	CLOPIXOL CONC. 500mg/1mL injection
d572.00	*CLOPIXOL 2g/10mL injection
d571.00	CLOPIXOL 200mg/1mL injection
