22K..00	Body Mass Index
22KE.00	Obese class III (body mass index equal to or greater than 40.0)
22KD.00	Obese class II (body mass index 35.0 - 39.9)
22KC.00	Obese class I (body mass index 30.0 - 34.9)
22KB.00	Baseline body mass index
22KA.00	Target body mass index
22K9.00	Body mass index centile
22K9K00	Down's syndrome body mass index centile
22K9J00	Child body mass index greater than 99.6th centile
22K9H00	Child body mass index 98.1st-99.6th centile
22K9G00	Child body mass index on 98th centile
22K9F00	Child body mass index 92nd-97th centile
22K9E00	Child body mass index on 91st centile
22K9D00	Child body mass index 76th-90th centile
22K9C00	Child body mass index on 75th centile
22K9B00	Child body mass index 51st-74th centile
22K9A00	Child body mass index on 50th centile
22K9900	Child body mass index 26th-49th centile
22K9800	Child body mass index on 25th centile
22K9700	Child body mass index 10th-24th centile
22K9600	Child body mass index on 9th centile
22K9500	Child body mass index 3rd-8th centile
22K9400	Child body mass index on 2nd centile
22K9300	Child body mass index 0.4th-1.9th centile
22K9200	Child body mass index less than 0.4th centile
22K9100	Child body mass index centile
22K9000	Baseline body mass index centile
22K8.00	Body mass index 20-24 - normal
22K7.00	Body mass index 40+ - severely obese
22K6.00	Body mass index less than 20
22K5.00	Body mass index 30+ - obesity
22K4.00	Body mass index index 25-29 - overweight
22K3.00	Body Mass Index low K/M2
22K2.00	Body Mass Index high K/M2
22K1.00	Body Mass Index normal K/M2
C3808	Childhood obesity
