13Z69	First language not English
13u0.	Main spoken language Bulgarian
13u1.	Main spoken language Romanian
13l0.	Main spoken language Arabic
13u2.	Main spoken language Oromo
13l1.	Main spoken language Bengali
13u3.	Main spoken language Abkhazian
13l2.	Main spoken language Cantonese
13u4.	Main spoken language Afar
13l3.	Main spoken language Czech
13u5.	Main spoken language Afrikaans
13l4.	Main spoken language English
13u6.	Main spoken language Armenian
13l5.	Main spoken language French
13u7.	Main spoken language Assamese
13l6.	Main spoken language Gujerati
13u8.	Main spoken language Aymara
13l6.	Main spoken language Gujarati
13u9.	Main spoken language Azerbaijani
13l7.	Main spoken language Hausa
13uA.	Main spoken language Bashkir
13l8.	Main spoken language Hindi
13uB.	Main spoken language Basque
13l9.	Main spoken language Iba
13uC.	Main spoken language Dzongkha
13l9.	Main spoken language Iban
13uD.	Main spoken language Bihari
13lA.	Main spoken language Kutchi
13uE.	Main spoken language Bislama
13lB.	Main spoken language Mandarin
13uF.	Main spoken language Breton
13lC.	Main spoken language Polish
13uG.	Main spoken language Burmese
13lD.	Main spoken language Portuguese
13uH.	Main spoken language Belarusian
13lE.	Main spoken language Punjabi
13uJ.	Main spoken language Central Khmer
13lE.	Main spoken language Panjabi
13uK.	Main spoken language Catalan
13lF.	Main spoken language Russian
13uL.	Main spoken language Slovak
13lG.	Main spoken language Somali
13uM.	Main spoken language Corsican
13lH.	Main spoken language Spanish
13uN.	Main spoken language Danish
13lI.	Main spoken language Swahili
13uP.	Main spoken language Esperanto
13lJ.	Main spoken language Sylheti
13uQ.	Main spoken language Estonian
13lK.	Main spoken language Tamil
13uR.	Main spoken language Faeroese
13lL.	Main spoken language Urdu
13uS.	Main spoken language Fijian
13lM.	Main spoken language Yoruba
13uT.	Main spoken language Finnish
13lN.	Main spoken language Kurdish
13uV.	Main spoken language Frisian
13lO.	Main spoken language Farsi
13uW.	Main spoken language Galician
13lO.	Main spoken language Persian
13uX.	Main spoken language Georgian
13lP.	Main spoken language Shona
13uY.	Main spoken language Kalaallisut
13lQ.	Main spoken language Italian
13uY.	Main spoken language Greenlandic
13lR.	Main spoken language German
13uZ.	Main spoken language Guarani
13lS.	Main spoken language Albanian
13ua.	Main spoken language Hungarian
13lT.	Main spoken language Croatian
