62...00	Patient pregnant
62...11	Antenatal care
L281.00	Premature rupture of membranes
8HT9.00	Referral to antenatal clinic
L116.00	Placenta praevia
L124.12	Toxaemia NOS
L100.00	Threatened abortion
L210.00	Twin pregnancy
L264.00	Intrauterine death
L224.00	Transverse presentation
L182500	Iron deficiency anaemia of pregnancy
7F06012	Shirodkar suture in pregnancy
7F05111	Amniocentesis NEC
62G..00	Antenatal ultrasound scan
8M6..00	Requests pregnancy termination
584Z.00	U-S obstetric diagn. scan NOS
2751.00	O/E - no fetal movements
L222.00	Breech presentation
L166.11	Cystitis of pregnancy
L1...00	Pregnancy complications
L180900	Gestational diabetes mellitus
L11..11	Antepartum haemorrhage
L175.11	Rubella contact in pregnancy
L14..11	Premature labour
L166500	Infections of kidney in pregnancy
4654.00	Urine pregnancy test positive
L16y500	Abdominal pain in pregnancy
7F05300	Sampling of chorionic villus NEC
L13..11	Hyperemesis gravidarum
L126300	Eclampsia - not delivered
L12z300	Unspecified hypertension in preg/childb/puerp - not deliv
62N1.00	A/N booking examination
L10..00	Haemorrhage in early pregnancy
628..00	A/N care: risk NOS
6313.00	Consultant unit birth
4H12.00	Amniotic fluid - nil abnormal
621..11	Pregnancy confirmed
Q10z.11	Intrauterine growth retardation
L112.11	Ablatio placentae
5842.00	U-S obstetric scan normal
13H7.00	Unwanted pregnancy
L16A.00	Glycosuria during pregnancy
62...13	Pregnancy care
L130.11	Morning sickness
9N1N.00	Seen in antenatal clinic
ZV22.00	[V]Normal pregnancy
954..00	Mat B1 - cert of expected conf
ZV28.00	[V]Antenatal screening
ZV23800	[V]Supervision of high-risk pregnancy due to social problems
L166800	Urinary tract infection complicating pregnancy
Q000.11	Fetus affected by maternal toxaemia
621C.00	Unplanned pregnancy
ZV28300	[V]Screening for malformations using ultrasonics
276..00	O/E - fetal heart heard
Z212.00	Antenatal care
9594.00	GMS2 claim sent to HA
9591.00	GMS2 claim signed by patient
L112.00	Placental abruption
8H7W.00	Refer to TOP counselling
L264.11	Fetal death in utero
L180811	Gestational diabetes mellitus
L124600	Pre-eclampsia, unspecified
L250.13	Suspect fetal spina bifida
8E96.00	Ante-natal exercises
L125.00	Severe pre-eclampsia
584..11	Fetal U-S scan
6776.12	TOP counselling
L231.00	Generally contracted pelvis
6776.11	Abortion counselling
L10y.11	Bleeding in early pregnancy
L124.00	Mild or unspecified pre-eclampsia
584A.00	Dating/booking US scan
7F25000	Fetal heart monitoring NEC
L265311	Maternal care for intrauterine growth retardation
623..00	A/N care: obstetric risk
7F25.12	Foetal monitoring
