^ESCT1190324	Toxemia of pregnancy
^ESCT1190328	False labor
^ESCT1190342	Suspected fetal anencephaly
^ESCT1190343	Suspected fetal damage from maternal alcohol
^ESCT1190344	Suspected fetal damage from maternal toxoplasmosis
^ESCT1190345	Suspect trisomy 21 fetus
^ESCT1192449	Hemorrhage in early pregnancy
^ESCT1192477	Feeding intention -baby
^ESCT1192480	Fetal damage from disease in the mother
^ESCT1192624	Finding of length of gestation
^ESCT1217135	Congenital malformation due to valproic acid
^ESCT1217141	Cervical insufficiency
^ESCT1236831	Difficult tracheal intubation
^ESCT1236832	Difficult airway intubation
^ESCT1248792	Mat B1 due
^ESCT1248795	Mat. anaesth. service claim
^ESCT1270245	Threatened premature labour
^ESCT1271726	Known or suspected fetal abnormality
^ESCT1378903	Meconium stained liquor
^ESCT1378904	Meconium stained amniotic fluid
^ESCT1379208	Fetal spina bifida suspected
^ESCT1379209	Foetal spina bifida suspected
^ESCT1379210	Fetal hydrocephalus suspected
^ESCT1379211	Fetal hydrocephaly suspected
^ESCT1379212	Foetal hydrocephaly suspected
^ESCT1379213	Foetal hydrocephalus suspected
^ESCT1382089	Foetal surgery
^ESCT1382090	Fetal surgery
^ESCT1407088	Therapeutic fetoscopic operation on fetus
^ESCT1407089	Therapeutic foetoscopic operation on foetus
^ESCT1419537	Foetal valproate spectrum disorder
^ESCT1419538	Fetal valproate spectrum disorder
^ESCT1419932	Toxaemia of pregnancy
^ESCT1421085	Fetal disorder due to disease in mother
^ESCT1421086	Foetal disorder due to disease in mother
^ESCT1421087	Foetal disorder due to maternal disease
^ESCT1421088	Fetal disorder due to maternal disease
^ESCTAB277590	Abnormal dilatation of cervix before onset of labor
^ESCTAB277591	Abnormal dilatation of cervix before onset of labour
^ESCTAB303987	Abnormal placenta
^ESCTAB687019	Ablatio placentae
^ESCTAB687020	Abruptio placentae
^ESCTAC479845	Accelerated fetal growth
^ESCTAC479850	Accelerated foetal growth
^ESCTAL647612	Alloimmune haemolytic disease of newborn
^ESCTAL647615	Alloimmune hemolytic disease of newborn
^ESCTAN303986	Anomaly of placenta
^ESCTAN306114	Antepartum hemorrhage
^ESCTAN330895	Antepartum deep vein thrombosis
^ESCTAN330896	Antepartum deep phlebothrombosis
^ESCTAN479474	Antepartum hemorrhage with trauma
^ESCTAN479480	Antepartum hemorrhage with uterine leiomyoma
^ESCTAN479481	Antepartum hemorrhage with fibroid
^ESCTAN479482	Antepartum hemorrhage with uterine fibroid
^ESCTAN479512	Antepartum eclampsia
^ESCTAN510503	Antepartum hemorrhage with hypofibrinogenemia
