Q43z.00	Perinatal jaundice NOS
Q31y100	Perinatal cyanotic attacks NOS
63F..00	Birth details not known
L182400	Anaemia in the puerperium - baby previously delivered
Q4z..12	Neonatal death
L371200	Retained products with no haemorrhage with postnatal problem
Q316.00	Newborn transitory tachypnoea
Q206100	Birth plexus inj - Erb-Duchenne
Q433200	Breast feeding inhibitors causing neonatal jaundice
Q40A.00	Sepsis of the newborn
Q436200	Newborn physiological jaundice NOS
Q404100	Omphalitis
Q30..11	Hyaline membrane disease
Q310500	Congenital pneumonia due to viral agent
62S7.00	Postnatal examination normal
L42z.00	Puerperal pyrexia NOS
L414.00	Postnatal deep vein thrombosis
L452400	Obstetric nonpurulent mastitis with postnatal complication
62S..11	Postnatal exam. - maternal
Q421.11	ABO isoimmunisation of the newborn
Q20z.00	Birth injury NOS
L166600	Urinary tract infection following delivery
L394500	Infection of obstetric surgical wound
Q40y100	Neonatal urinary tract infection
8CH..00	Post partum care
ZV24.11	[V]Postnatal care and examination
Q317000	Perinatal bronchopulmonary dysplasia
Q43..00	Other perinatal jaundice
Lyu6A00	[X]Infection of caesarean section wound following delivery
L420z00	Puerperal pyrexia NOS
ZV29212	[V]Neonatal care on NNU
L403.00	Puerperal septicaemia
Q31y500	Neonatal snuffles
Q432.00	Preterm delivery associated jaundice
Q21z.13	Birth asphyxia
Q433A00	Neonatal jaundice from breast milk inhibitor
Q41y111	Perinatal transient vaginal bleeding
Q473.00	Other hypothermia of newborn
Q31y111	Cyanotic attacks of the newborn
Q47y000	Urticaria neonatorum
Q483.00	Feeding problems in newborn
L44zz00	Complications of the puerperium NOS
ZV29.00	[V]Level of neonatal care
L400.00	Puerperal endometritis
ZLE7412	Discharge from neonatal unit
62S..00	Maternal P/N 6 week exam.
Q483300	Vomiting in newborn
13G3.00	Mid-wife attends
2FX..00	O/E - Umbilical stump - neonatal
L40..11	Sepsis - puerperal
Q311000	Meconium aspiration syndrome
L394600	Haematoma of obstetric wound
Q203.12	Other birth fracture
Q404.11	Umbilical stump infection of the newborn
L443.12	Infection - perineal wound
6G...00	Postnatal care
64D..00	Child 6 week exam.
Q447.00	Neonatal hypoglycaemia
Q454.00	Polycythaemia neonatorum
Q477.00	Newborn breast engorgement
Q478.00	Neonatal erythema toxicum
Q407.12	Neonatal thrush
Q480.12	Seizures in newborn
L442.12	Episiotomy breakdown
62R..00	Postnatal visits
62RC.00	P/N care <48hrs after birth
62RZ.00	Postnatal visit NOS
62R1.00	P/N - first day visit
62SZ.00	Maternal P/N 6 week exam. NOS
L462z11	Breast engorgement
L462400	Breast engorgement in pregnancy/puerperium/lact + p/n comp
Q481.00	Newborn cerebral irritability, unspecified
Q460.00	Meconium ileus
62Q3.00	P/N - shared care
L461400	Cracked nipple in pregnancy/puerperium/lactation + p/n comp
62S5.00	Maternal P/N exam. done
Q482y00	Other newborn abnormal cerebral signs
Q201100	Cephalhaematoma due to birth trauma
Q407100	Neonatal candidiasis of perineum
Q20..00	Birth trauma
Q42z.00	Haemolytic disease of fetus/newborn due isoimmunisation NOS
L40z.00	Major puerperal infection NOS
L451400	Obstetric breast abscess with postnatal complication
Q11..00	Short gestation and unspecified low birthweight problems
63Z..00	Birth details NOS
62QZ.00	Post natal care NOS
L45z400	Obstetric breast infection NOS with postnatal complication
Q407.00	Neonatal candida infection
8HTA.00	Referral to postnatal clinic
Q474211	Thermal injury in newborn NEC
Q31y511	Neonatal sniffles
Eu53111	[X]Puerperal psychosis NOS
L40..00	Major puerperal infection
62Q..00	Postnatal care provider
F4F5400	Neonatal nasolacrimal duct obstruction
44qW.00	Neonatal screening test
Z29..00	Postnatal examination observations
Q47y200	Neonatal skin infection
Q20yz13	Renal injury due to birth trauma
L414.11	DVT - deep venous thrombosis, postnatal
Q402.00	Other congenital infections
ZV7y400	[V]Postnatal screening for chromosomal anomalies
Q206.00	Brachial plexus palsy due to birth trauma
313K.00	Neonatal hearing test
64a..00	Child 8 week exam
62Q6.00	Postnatal care
Q456.00	Anaemia of prematurity
Q31y600	Apnoea of newborn
Q483600	Overfeeding in newborn
Q448.00	Newborn late metabolic acidosis
Q31y000	Perinatal apnoeic spells NOS
Q436.00	Fetal and neonatal jaundice, unspecified
Q493.00	Persistent fetal circulation
Q436000	Icterus neonatorum, unspecified
Q401.00	Congenital cytomegalovirus infection
Q483200	Slow feeding in newborn
Q489.00	Acquired periventricular cysts of newborn
Q480.00	Convulsions in newborn
Q4z..00	Other perinatal conditions NOS
Qz...00	Perinatal conditions NOS
Q450.00	Haemorrhagic disease of the newborn
L412400	Superficial thrombophlebitis in preg/puerperium + p/n comp
L452100	Obstetric nonpurulent mastitis - delivered
L412211	Phlebitis - postpartum
Q444.00	Neonatal hypocalcaemia
Q48y411	Neonatal 'craniotabes'
9N05.00	Seen in postnatal clinic
ZV29111	[V]Neonatal care in SCBU
Q4...00	Other perinatal conditions
ZV29100	[V]Newborn receiving special care
Q441.00	Neonatal diabetes mellitus
Q480.11	Fits in newborn
Q466.00	Other meconium obstruction
Q464.00	Perinatal necrotising enterocolitis
Q40y200	Septicaemia of newborn
Q201.00	Scalp injuries due to birth trauma
62R2.00	P/N - second day visit
62R3.00	P/N - third day visit
62R4.00	P/N - fourth day visit
62R5.00	P/N - fifth day visit
62S2.00	Maternal P/N exam. offered
62R6.00	P/N - sixth day visit
Q....00	Perinatal conditions
Q314.00	Primary atelectasis
Q406100	Neonatal conjunctivitis
Q200000	Cerebral haemorrhage unspecified, due to birth trauma
Q490.00	Neonatal cardiac failure
