68NV.	Influenza vacc consent given
F034G	Post influenza vaccination encephalitis
n4n..	HIB - Haemophilus influenzae Type B vaccine
n4n4.	Haemophilus influenzae Type B 10micrograms vaccine 0.5mL
n4n5.	Haemophilus influenzae Type b vaccine injection (pdr)+diluent+syringe
n4p..	Haemophilus influenzae Type b (Hib)/diphtheria/tetanus/pertussis vaccine
n4p2.	Haemophilus influenzae Type b (Hib)/diphtheria/tetanus/pertussis vaccine vial+prefilled syringe
n4p4.	Haemophilus influenzae Type b (Hib)/diphtheria/tetanus/pertussis vaccine prefilled syringe
n4pz.	Haemophilus influenzae Type b (Hib)/diphtheria/tetanus/pertussis vaccine vial
x006a	Inactivated Influenza surface antigen sub-unit vaccine
x006Z	Inactivated Influenza split virion vaccine
x00Ry	Haemophilus influenzae Type b vaccine injection (pdr for recon)+diluent
x00Yd	Fluvirin vaccine prefilled syringe
x00Ye	Fluzone vaccine prefilled syringe
x00Yi	Inactivated Influenza (split virion) vaccine prefilled syringe
x00Yj	Inactivated Influenza (surface antigen sub-unit ) vaccine prefilled syringe
x00Yk	Influvac Sub-unit vaccine prefilled syringe
x01LF	Influvac Sub-unit injection
x0453	Influvac Sub-unit
x05yO	Inactivated Influenza surface antigen virosome vaccine prefilled syringe
x05yP	Inactivated Influenza surface antigen virosome vaccine
Xa5A9	Haemophilus influenzae Type B vaccine poisoning
Xa5AA	Accidental haemophilus influenzae Type B vaccine poisoning
Xa5AB	Intentional haemophilus influenzae Type B vaccine poisoning
Xa5AC	Haemophilus influenzae Type B vaccine poisoning of undetermined intent
Xa5AU	Influenza vaccine poisoning
Xa5AV	Accidental influenza vaccine poisoning
Xa5AW	Intentional influenza vaccine poisoning
Xa5AX	Influenza vaccine poisoning of undetermined intent
Xa5WJ	Influenza vaccine adverse reaction
Xa5WK	Influenza split virion vaccine adverse reaction
Xa5WL	Influenza surface antigen vaccine adverse reaction
Xa5WZ	Haemophilus influenzae Type B vaccine adverse reaction
Xaa9f	No consent for seasonal influenza vaccination
Xaa9G	Administration of intranasal influenza vaccination
Xaac1	Administration of first intranasal pandemic influenza vaccination
Xaac2	Administration of second intranasal pandemic influenza vaccination
Xaac3	Administration of first intranasal seasonal influenza vaccination
Xaac4	Administration of second intranasal seasonal influenza vaccination
Xaac5	First intranasal pandemic influenza vaccination given by other healthcare provider
Xaac6	Second intranasal pandemic influenza vaccination given by other healthcare provider
Xaac7	First intranasal seasonal influenza vaccination given by other healthcare provider
Xaac8	Second intranasal seasonal influenza vaccination given by other healthcare provider
XaaDp	First intranasal influenza vaccination declined
XaaDq	Second intranasal influenza vaccination declined
XaadS	First intranasal seasonal influenza vaccination declined
XaadT	First intranasal pandemic influenza vaccination declined
XaadU	Second intranasal seasonal influenza vaccination declined
XaadV	Second intranasal pandemic influenza vaccination declined
XaadX	Did not attend first intranasal pandemic influenza vaccination
XaadZ	Did not attend second intranasal pandemic influenza vaccination
XaaED	Administration of first intranasal influenza vaccination
XaaEF	Administration of second intranasal influenza vaccination
XaaGs	Provision of information about seasonal influenza vaccination
XaavB	Haemophilus influenzae type b and meningitis C vaccination contraindicated
XaaWK	Did not attend second intranasal seasonal influenza vaccination
XaaWM	Did not attend first intranasal seasonal influenza vaccination
XaaZp	Seasonal influenza vaccination given while hospital inpatient
XabGL	Education about influenza vaccination
