14b3.	History of influenza vaccination
2J63.	High priority for influenza A subtype H1N1 vaccination
67970	Education about influenza vaccination
68NE0	No consent for seasonal influenza vaccination
68Nr.	Consent given for pandemic influenza vaccination
68Ns.	No consent for influenza A (H1N1v) 2009 vaccination
68Nt.	Consent given for influenza A subtype H1N1 vaccination
68Nu.	No response to influenza vaccination invitation
68NV.	Influenza vacc consent given
68NV0	Consent given for seasonal influenza vaccination
8BQ1.	Long term indication for seasonal influenza vaccination
8I23M	Haemophilus influenzae type b vaccination contraindicated
8I2d.	Pandemic influenza vaccination contraindicated
8I2F.	Influenza vaccination contraindicated
8I2F0	Seasonal influenza vaccination contraindicated
8I6D.	Influenza vaccination not indicated
8I6D0	Seasonal influenza vaccination not indicated
8I6g.	Pandemic influenza vaccination not indicated
8IAG.	Pandemic influenza vaccination declined
8ME..	Influenza vaccination requested
9N4q.	Did not attend flu vaccination appointment
9N4q0	Did not attend influenza A virus subtype H1N1 vaccination
9N4q1	Did not attend first intranasal seasonal influenza vaccination
9N4q2	Did not attend first intranasal pandemic influenza vaccination
9N4q3	Did not attend second intranasal seasonal influenza vaccination
9N4q4	Did not attend second intranasal pandemic influenza vaccination
F034G	Post influenza vaccination encephalitis
n4n..	HAEMOPHILUS INFLUENZAE Type b (Hib) VACCINE
n4n4.	HAEMOPHILUS INFLUENZAE Type b 10micrograms vaccine 0.5mL
n4n5.	HAEMOPHILUS INFLUENZAE Type b 10micrograms vaccine syringe+diluent
U60K4	[X]Influenza vaccine causing adverse effects in therapeutic use
ZV048	[V]Influenza vaccination
65E..	Influenza vaccination
65E0.	First pandemic influenza vaccination
65E00	Administration of first intranasal pandemic influenza vaccination
65E1.	Second pandemic influenza vaccination
65E10	Administration of second intranasal pandemic influenza vaccination
65E2.	Influenza vaccination given by other healthcare provider
65E20	Seasonal influenza vaccination given by other healthcare provider
65E21	First intranasal seasonal influenza vaccination given by other healthcare provider
65E22	Second intranasal seasonal influenza vaccination given by other healthcare provider
65E23	Second intramuscular seasonal influenza vaccination given by other healthcare provider
65E24	First intramuscular seasonal influenza vaccination given by other healthcare provider
65E3.	First pandemic influenza vaccination given by other healthcare provider
65E30	First intranasal pandemic influenza vaccination given by other healthcare provider
65E4.	Second pandemic influenza vaccination given by other healthcare provider
65E40	Second intranasal pandemic influenza vaccination given by other healthcare provider
65E5.	CELVAPAN - first influenza A (H1N1v) 2009 vaccination given
65E6.	CELVAPAN - second influenza A (H1N1v) 2009 vaccination given
65E7.	CELVAPAN - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider
65E8.	CELVAPAN - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider
65E9.	PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given
65EA.	PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given
65EB.	PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider
65EC.	PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider
65ED.	Seasonal influenza vaccination
65ED0	Seasonal influenza vaccination given by pharmacist
65ED1	Administration of first intranasal seasonal influenza vaccination
65ED2	Seasonal influenza vaccination given while hospital inpatient
65ED3	Administration of second intranasal seasonal influenza vaccination
65ED4	Administration of first inactivated seasonal influenza vaccination
65ED5	Administration of second inactivated seasonal influenza vaccination
65ED6	First intranasal seasonal influenza vaccination given by pharmacist
65ED7	Second intranasal seasonal influenza vaccination given by pharmacist
65ED8	First inactivated seasonal influenza vaccination given by pharmacist
65ED9	Second inactivated seasonal influenza vaccination given by pharmacist
65EE.	Administration of intranasal influenza vaccination
65EE0	Administration of first intranasal influenza vaccination
65EE1	Administration of second intranasal influenza vaccination
9OX..	Influenza vacc. administratn.
9OX1.	Has 'flu vaccination at home
9OX2.	Has'flu vaccination at surgery
9OX3.	Has 'flu vaccination at hosp.
9OX4.	Needs influenza immunisation
9OX5.	Influenza vaccination declined
9OX50	Influenza A virus subtype H1N1 vaccination declined
