65E..	Influenza vaccination
Xaa9G	Administration of intranasal influenza vaccination
Xaac1	Administration of first intranasal pandemic influenza vaccination
Xaac2	Administration of second intranasal pandemic influenza vaccination
Xaac3	Administration of first intranasal seasonal influenza vaccination
Xaac4	Administration of second intranasal seasonal influenza vaccination
Xaac5	First intranasal pandemic influenza vaccination given by other healthcare provider
Xaac6	Second intranasal pandemic influenza vaccination given by other healthcare provider
Xaac7	First intranasal seasonal influenza vaccination given by other healthcare provider
Xaac8	Second intranasal seasonal influenza vaccination given by other healthcare provider
XaaED	Administration of first intranasal influenza vaccination
XaaEF	Administration of second intranasal influenza vaccination
XaaZp	Seasonal influenza vaccination given while hospital inpatient
XabvT	Second intramuscular seasonal influenza vaccination given by other healthcare provider
Xac5J	First intramuscular seasonal influenza vaccination given by other healthcare provider
Xad9j	Administration of first inactivated seasonal influenza vaccination
Xad9k	Administration of second inactivated seasonal influenza vaccination
Xaeet	First intranasal seasonal influenza vaccination given by pharmacist
Xaeeu	Second intranasal seasonal influenza vaccination given by pharmacist
Xaeev	First inactivated seasonal influenza vaccination given by pharmacist
Xaeew	Second inactivated seasonal influenza vaccination given by pharmacist
XafhP	Seasonal influenza vaccination given by midwife
XafhQ	First inactivated seasonal influenza vaccination given by midwife
XafhR	Second inactivated seasonal influenza vaccination given by midwife
XaLK4	Booster influenza vaccination
XaLNG	First pandemic influenza vaccination
XaLNH	Second pandemic influenza vaccination
XaPwi	First pandemic influenza vaccination given by other healthcare provider
XaPwj	Second pandemic influenza vaccination given by other healthcare provider
XaPyT	Influenza vaccination given by other healthcare provider
XaQhk	CELVAPAN - first influenza A (H1N1v) 2009 vaccination given
XaQhl	CELVAPAN - second influenza A (H1N1v) 2009 vaccination given
XaQhm	PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given
XaQhn	PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given
XaQho	CELVAPAN - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider
XaQhp	CELVAPAN - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider
XaQhq	PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider
XaQhr	PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider
XaZ0d	Seasonal influenza vaccination
XaZ0e	Seasonal influenza vaccination given by other healthcare provider
XaZfY	Seasonal influenza vaccination given by pharmacist
ZV048	[V]Flu - influenza vaccination
Y0c3f	First influenza A (H1N1v) 2009 vaccination given
Y0c40	Second influenza A (H1N1v) 2009 vaccination given
