65E..00	Influenza vaccination
65E0.00	First pandemic influenza vaccination
65E0000	Administration of first intranasal pandemic influenza vaccination
65E1.00	Second pandemic influenza vaccination
65E1000	Administration of second intranasal pandemic influenza vaccination
65E2.00	Influenza vaccination given by other healthcare provider
65E2000	Seasonal influenza vaccination given by other healthcare provider
65E2100	First intranasal seasonal influenza vaccination given by other healthcare provider
65E2200	Second intranasal seasonal influenza vaccination given by other healthcare provider
65E2300	Second intramuscular seasonal influenza vaccination given by other healthcare provider
65E2400	First intramuscular seasonal influenza vaccination given by other healthcare provider
65E3.00	First pandemic influenza vaccination given by other healthcare provider
65E3000	First intranasal pandemic influenza vaccination given by other healthcare provider
65E4.00	Second pandemic influenza vaccination given by other healthcare provider
65E4000	Second intranasal pandemic influenza vaccination given by other healthcare provider
65E5.00	CELVAPAN - first influenza A (H1N1v) 2009 vaccination given
65E6.00	CELVAPAN - second influenza A (H1N1v) 2009 vaccination given
65E7.00	CELVAPAN - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider
65E8.00	CELVAPAN - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider
65E9.00	PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given
65EA.00	PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given
65EB.00	PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider
65EC.00	PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider
65ED.00	Seasonal influenza vaccination
65ED000	Seasonal influenza vaccination given by pharmacist
65ED100	Administration of first intranasal seasonal influenza vaccination
65ED200	Seasonal influenza vaccination given while hospital inpatient
65ED300	Administration of second intranasal seasonal influenza vaccination
65ED400	Administration of first inactivated seasonal influenza vaccination
65ED500	Administration of second inactivated seasonal influenza vaccination
65ED600	First intranasal seasonal influenza vaccination given by pharmacist
65ED700	Second intranasal seasonal influenza vaccination given by pharmacist
65ED800	First inactivated seasonal influenza vaccination given by pharmacist
65ED900	Second inactivated seasonal influenza vaccination given by pharmacist
65EE.00	Administration of intranasal influenza vaccination
65EE000	Administration of first intranasal influenza vaccination
65EE100	Administration of second intranasal influenza vaccination
ZV04800	[V]Influenza vaccination
ZV04811	[V]Flu - influenza vaccination
